"FaciltyId","Year","Measure","Note"
"340143",2018,"I_001_02","2"
"350015",2018,"I_001_02","2"
"360001",2018,"I_001_02","3"
"360003",2018,"I_001_02","5"
"360121",2018,"I_001_02","5"
"360137",2018,"I_001_02","5"
"360189",2018,"I_001_02","5"
"363032",2018,"I_001_02","5"
"370114",2018,"I_001_02","2"
"370149",2018,"I_001_02","5"
"373035",2018,"I_001_02","3"
"390304",2018,"I_001_02","3"
"400003",2018,"I_001_02","5"
"420101",2018,"I_001_02","5"
"430012",2018,"I_001_02","5"
"430027",2018,"I_001_02","2"
"430077",2018,"I_001_02","2"
"440009",2018,"I_001_02","5"
"440200",2018,"I_001_02","5"
"450002",2018,"I_001_02","5"
"450011",2018,"I_001_02","2"
"450119",2018,"I_001_02","2"
"450137",2018,"I_001_02","2"
"450289",2018,"I_001_02","1"
"450647",2018,"I_001_02","3"
"460005",2018,"I_001_02","5"
"490075",2018,"I_001_02","3"
"500001",2018,"I_001_02","5"
"500005",2018,"I_001_02","5"
"500015",2018,"I_001_02","5"
"500019",2018,"I_001_02","5"
"500051",2018,"I_001_02","5"
"673028",2018,"I_001_02","5"
"10029",2018,"I_002_01","5"
"10100",2018,"I_002_01","5"
"10113",2017,"I_002_01","2"
"10113",2018,"I_002_01","2"
"10144",2017,"I_002_01","3"
"10144",2018,"I_002_01","3"
"33039",2017,"I_002_01","3"
"33039",2018,"I_002_01","3"
"33040",2018,"I_002_01","5"
"40154",2018,"I_002_01","5"
"43035",2017,"I_002_01","1"
"43035",2018,"I_002_01","1"
"50016",2017,"I_002_01","5"
"50016",2018,"I_002_01","5"
"50018",2017,"I_002_01","5"
"50018",2018,"I_002_01","5"
"50158",2017,"I_002_01","5"
"50158",2018,"I_002_01","5"
"50167",2017,"I_002_01","5"
"50204",2018,"I_002_01","5"
"50236",2017,"I_002_01","5"
"50236",2018,"I_002_01","5"
"50283",2017,"I_002_01","5"
"50283",2018,"I_002_01","5"
"50305",2017,"I_002_01","5"
"50417",2017,"I_002_01","3"
"50417",2018,"I_002_01","3"
"50441",2017,"I_002_01","5"
"50441",2018,"I_002_01","5"
"50471",2017,"I_002_01","5"
"50471",2018,"I_002_01","5"
"50498",2017,"I_002_01","5"
"50498",2018,"I_002_01","5"
"50580",2017,"I_002_01","5"
"50580",2018,"I_002_01","5"
"50603",2017,"I_002_01","5"
"50603",2018,"I_002_01","5"
"50782",2017,"I_002_01","1"
"50782",2018,"I_002_01","1"
"53038",2017,"I_002_01","5"
"53038",2018,"I_002_01","5"
"53039",2018,"I_002_01","5"
"53040",2018,"I_002_01","5"
"60001",2017,"I_002_01","5"
"60001",2018,"I_002_01","5"
"60006",2018,"I_002_01","2"
"60011",2017,"I_002_01","1"
"60011",2018,"I_002_01","1"
"60014",2017,"I_002_01","5"
"60014",2018,"I_002_01","5"
"60022",2017,"I_002_01","2"
"60031",2018,"I_002_01","2"
"100226",2017,"I_002_01","2"
"100226",2018,"I_002_01","2"
"100290",2017,"I_002_01","2"
"100290",2018,"I_002_01","2"
"110010",2017,"I_002_01","2"
"110010",2018,"I_002_01","2"
"130049",2017,"I_002_01","5"
"130049",2018,"I_002_01","5"
"140008",2017,"I_002_01","2"
"140008",2018,"I_002_01","2"
"140135",2017,"I_002_01","5"
"140135",2018,"I_002_01","5"
"140239",2017,"I_002_01","5"
"140239",2018,"I_002_01","5"
"180009",2017,"I_002_01","5"
"180009",2018,"I_002_01","5"
"180040",2018,"I_002_01","2"
"180056",2017,"I_002_01","5"
"180056",2018,"I_002_01","5"
"193097",2017,"I_002_01","2"
"193097",2018,"I_002_01","2"
"193098",2018,"I_002_01","5"
"230013",2017,"I_002_01","5"
"230013",2018,"I_002_01","5"
"230077",2017,"I_002_01","5"
"230077",2018,"I_002_01","5"
"230093",2017,"I_002_01","2"
"230093",2018,"I_002_01","2"
"230301",2017,"I_002_01","5"
"230301",2018,"I_002_01","5"
"240063",2017,"I_002_01","5"
"240063",2018,"I_002_01","5"
"240064",2017,"I_002_01","5"
"240064",2018,"I_002_01","5"
"240196",2017,"I_002_01","5"
"240196",2018,"I_002_01","5"
"250001",2017,"I_002_01","5"
"250001",2018,"I_002_01","5"
"260057",2017,"I_002_01","1"
"260057",2018,"I_002_01","1"
"260074",2017,"I_002_01","5"
"260074",2018,"I_002_01","5"
"283026",2018,"I_002_01","5"
"290007",2017,"I_002_01","5"
"290007",2018,"I_002_01","5"
"290008",2017,"I_002_01","5"
"290008",2018,"I_002_01","5"
"290009",2017,"I_002_01","5"
